Event,Emotion
Waking up naturally in the afternoon without an alarm,Calm
Going to eat dessert alone without worrying about others,Calm
Neatly writing math formulas in my notebook,Calm
Sitting by the window watching the city lights at night,Calm
Organizing my desktop icons and files,Calm
Writing with a pen that has perfect ink flow,Calm
Walking alone on campus during summer break,Calm
The sound of typing on my keyboard at night,Calm
Watching the dust float in a sunbeam,Calm
Folding my laundry neatly,Calm
Reading a light novel with lo-fi music,Calm
Empty train car on the way home,Calm
Finishing a puzzle I started months ago,Calm
Solving a sudoko puzzle in silence,Calm
Watching the clouds move slowly across the sky,Calm
The hum of the computer fan at night,Calm
Empty streets at 4 AM,Calm
Organizing my cables with velcro ties,Calm
Reading a book with no words just pictures,Calm
Staring at a fish tank for 20 minutes,Calm
The sound of a pencil writing on paper,Calm
Sitting in the back of the bus watching the view,Calm
Cleaning my mechanical keyboard keys,Calm
Typing on a mechanical keyboard in silence,Calm
Watching snow fall outside the window,Calm
Empty library at night,Calm
Organizing my bookshelf by color,Calm
Drawing geometry figures perfectly,Calm
Listening to white noise while studying,Calm
Walking in the park at dawn,Calm
Watching the washing machine spin,Calm
Staring at the moon,Calm
Cleaning my glasses and seeing clearly,Calm
Writing code with dark mode on,Calm
The sound of a ticking clock,Calm
Meditating for 5 minutes,Calm
Watching tea leaves sink to the bottom of the cup,Calm
Solving a logic puzzle,Calm
Empty train station platform,Calm
The hum of the refrigerator,Calm
Ironing clothes perfectly flat,Calm
Reading a book without checking my phone,Calm
Sitting in silence with a friend,Calm
Watching a fractal zoom video for hours,Calm
The library is completely empty on a Friday night,Calm
Writing with a fountain pen on high-quality paper,Calm
Solving a nonogram puzzle in silence,Calm
Walking through the campus gardens at dawn,Calm
The hum of the server room is soothing,Calm
Organizing my LaTeX code with perfect indentation,Calm
Watching tea leaves steep in hot water,Calm
No notifications on my phone for an hour,Calm
Just breathing in the scent of old library books,Calm
Finally bought the limited edition anime collaboration figure,Excited
My favorite anime just updated with a new episode,Excited
Discovered a new Souffl? pancake shop near school,Excited
Pulled an SSR in one shot in my mobile game,Excited
Saw a cat style I wanted in the gacha machine,Excited
My favorite VTuber is streaming tonight,Excited
Snagged limited tickets to the Comic Con,Excited
Bubble tea shop released a seasonal strawberry drink,Excited
Noticed my pre-ordered plushie finally shipped,Excited
Solved a Topology problem I've been stuck on for three days,Excited
My favorite manga released a new chapter today,Excited
Found a rare doujinshi I've been looking for,Excited
The anime movie I wanted to see is airing locally,Excited
My oshi replied to my tweet,Excited
Won a lottery for a signed poster,Excited
New character trailer looks absolutely stunning,Excited
Finally beat the boss I've been stuck on for a week,Excited
Pre-ordered the collector's edition game box,Excited
Going to a maid cafe for the first time,Excited
Saw a collab cafe for my favorite series is opening,Excited
My favorite game announced a collaboration with my favorite anime,Excited
Found a glitch that lets me speedrun the level,Excited
"The package tracking says ""Out for Delivery""",Excited
My fanart got retweeted by the official account,Excited
Pre-ordered the bluray box set of my favorite series,Excited
Going to the cinema to watch the new anime movie,Excited
Finally got the rare achievement in the game,Excited
Found a shop that sells imported Japanese snacks,Excited
My discord server is hosting a watch party,Excited
Solved a Rubik's cube in under a minute,Excited
My pre-ordered figure finally arrived,Excited
Found a hidden easter egg in the game,Excited
The cafe is doing a collaboration with my favorite game,Excited
Saw a new trailer for the upcoming anime season,Excited
Found a super rare item in the RPG,Excited
My favorite artist opened commissions,Excited
Going to a karaoke night with other otaku friends,Excited
Unboxing a new mechanical keyboard,Excited
Found a glitch that lets me skip a hard level,Excited
My fanfiction got a nice comment,Excited
Seeing a cat cafe on the map nearby,Excited
Buying a ticket to the fan meeting,Excited
Found the manga volume that completes my collection,Excited
The seasonal event in my mobile game just started,Excited
Hearing the opening theme of my childhood anime,Excited
A new bubble tea shop opened near campus,Excited
Found a perfect texture pack for my game,Excited
Watching a speedrun record being broken live,Excited
Getting a notification that my favorite streamer is live,Excited
Found a perfectly round stone on the ground,Excited
My favorite manga is finally getting an anime adaptation,Excited
Found a shiny Pokemon after hunting for hours,Excited
The limited edition figure is back in stock online,Excited
Solved the riddle in the online ARG game,Excited
My code optimization reduced runtime by 50 percent,Excited
Winning a ranked match against a higher level player,Excited
The teaser trailer for the movie dropped,Excited
Found a glitch in the game that lets me fly,Excited
Getting a retweet from a famous illustrator I admire,Excited
The schedule for the comic convention was released,Excited
Ate a piece of super rich chocolate mille cr?pe cake,Happy
Barely passed the Linear Algebra exam this semester,Happy
Ordered a full-sugar less-ice bubble tea,Happy
Don't have to go out today and can stay in the dorm all day,Happy
Ordered delivery and ate delicious popcorn chicken,Happy
Professor said there won't be proofs on the midterm,Happy
Binged an old anime series in my dorm blanket burrito,Happy
Found a pudding I bought yesterday in the fridge,Happy
A day where I didn't have to speak to anyone,Happy
Finished math homework faster than expected,Happy
Found a quiet corner in the library with an outlet,Happy
Professor cancelled the 8 AM class,Happy
Found a 100 dollar bill in my winter coat pocket,Happy
The bubble tea shop gave me extra toppings for free,Happy
Solved the differential equation on the first try,Happy
Got the window seat on the bus with no one next to me,Happy
My code compiled successfully without any warnings,Happy
Found a loophole in the homework question,Happy
Watching a live stream while eating chips,Happy
Someone uploaded the solution manual online,Happy
Found a loophole that makes the math problem easier,Happy
The professor cancelled the homework for this week,Happy
Got a free upgrade on my drink size,Happy
Found a seat on the crowded train,Happy
My code passed all test cases on the first run,Happy
Ate a perfect strawberry shortcake,Happy
Woke up and realized I still have 2 hours to sleep,Happy
Found a new lo-fi playlist that is perfect for studying,Happy
The cat at the campus cafe sat on my lap,Happy
Someone praised my choice of anime profile picture,Happy
Found a quiet spot in the cafeteria,Happy
Professor ended the lecture 10 minutes early,Happy
My code ran without errors on the first try,Happy
Got a seat on the crowded train,Happy
The vending machine gave me an extra coin back,Happy
Found a song that perfectly matches my mood,Happy
Ate a really good donut,Happy
Finished all my homework before Sunday night,Happy
Woke up feeling refreshed for once,Happy
The cat let me pet its belly,Happy
Someone complimented my backpack pins,Happy
Found a PDF of the textbook for free,Happy
My room is finally clean,Happy
Passed a level I was stuck on for days,Happy
The weather is perfectly overcast and cool,Happy
Got a perfect score on the quiz,Happy
Enjoying a warm shower after a long day,Happy
My favorite character got more screen time,Happy
Found a pen that writes super smoothly,Happy
The wifi is actually fast today,Happy
The vending machine gave me two snacks by mistake,Happy
Found a new bakery that sells authentic melon pan,Happy
"Professor said ""Good job"" on my homework feedback",Happy
A campus cat approached me and let me pet it,Happy
Waking up in panic and realizing it is a holiday,Happy
Got a free drink coupon for the cafe,Happy
The wifi speed is incredibly fast today for downloading,Happy
Found the bug in my code immediately without debugging,Happy
Ate a perfectly sweet strawberry,Happy
My dorm room is finally clean and organized,Happy
Buried my face in a pile of soft plushies,Healed
Watched a video of a cat making biscuits for 30 minutes,Healed
Drank the first sip of hot brown sugar milk,Healed
Organizing my beloved figure collection on the shelf,Healed
Napping while hugging my shark pillow,Healed
Pet a very friendly orange cat on the street,Healed
Ate a freshly baked cheese tart,Healed
Watching a loli character act cute in anime,Healed
Smelling the scent of freshly washed blankets,Healed
Playing video games in my room while listening to the rain,Healed
Watching a cat sleeping peacefully on a cushion,Healed
Touching a super soft plushie at the store,Healed
Drinking hot soup on a freezing day,Healed
Seeing a puppy waddling on the sidewalk,Healed
Listening to rain sounds (ASMR) while studying,Healed
A baby smiled at me on the train,Healed
Putting on fresh pajamas after a shower,Healed
Watching a time-lapse of flowers blooming,Healed
Lighting a scented candle in my room,Healed
My cat purring through the phone speaker,Healed
Watching a video of a kitten falling asleep,Healed
The smell of fresh bakery bread,Healed
Touching the paw pads of a cat,Healed
Listening to the sound of waves on a loop,Healed
Wrapping myself in a warm towel,Healed
Drinking hot tea on a rainy afternoon,Healed
Watching dust motes dancing in the sunlight,Healed
A stranger's dog wagged its tail at me,Healed
Seeing a double rainbow after the rain,Healed
Putting on brand new fluffy socks,Healed
Touching a fluffy blanket,Healed
Watching a video of a hamster eating,Healed
Drinking warm milk with honey,Healed
Smelling lavender essential oil,Healed
A cat slow-blinked at me,Healed
Watching rain droplets race on the window,Healed
Listening to purring sounds,Healed
Hugging a giant plushie,Healed
Eating comfort food while watching anime,Healed
Seeing a rainbow,Healed
Watching a butterfly land on a flower,Healed
Taking a nap in a sunbeam,Healed
The smell of old books,Healed
Warm sunlight on my face in winter,Healed
Listening to acoustic guitar covers,Healed
Watching fish swim in an aquarium,Healed
A baby grabbed my finger,Healed
Feeling the texture of a soft sweater,Healed
Watching a candle flame flicker,Healed
Seeing a plant sprout a new leaf,Healed
Watching a video of a capybara in a hot spring,Healed
Wrapped in a blanket fresh from the dryer,Healed
Drinking hot chocolate with extra marshmallows,Healed
A baby grabbed my finger on the bus,Healed
Smelling fresh rain on the hot pavement,Healed
My cat fell asleep on my keyboard while I was typing,Healed
Watching a 4K video of a bonfire crackling,Healed
Listening to soft piano music while looking at rain,Healed
Touching a soft mossy rock in the garden,Healed
Seeing a dog stick its head out of a car window happily,Healed
Mom sent a photo of my cat sleeping at home,Homesick
Really want to sniff my cat at home,Homesick
Sick in my rental apartment with no one to take care of me,Homesick
Heard my cat meow during a video call,Homesick
Dorm is too small to display my plushie collection,Homesick
Miss the breakfast shop at the alley corner back home,Homesick
Saw a stray cat that looks just like mine,Homesick
It's too cold here and I miss the heating at home,Homesick
The food here isn't as good as home-cooked meals,Homesick
Received a snack package sent from home,Homesick
Smelling the neighbor's dinner cooking and missing mom,Homesick
Seeing family photos on my desk,Homesick
Waking up from a dream about being home,Homesick
Doing laundry alone at the laundromat feels lonely,Homesick
Listening to my parents' voice messages,Homesick
Want to hug my dog but I'm miles away,Homesick
Seeing friends post about family dinners,Homesick
The dumplings here taste nothing like home,Homesick
Feeling overwhelmed and just want to go home,Homesick
Video calling home and seeing my room unchanged,Homesick
Dreamt about eating my mom's curry,Homesick
Seeing a family walking together in the park,Homesick
Sick and tired of eating instant noodles alone,Homesick
Looking at old photos of my room back home,Homesick
Miss the smell of my own pillow,Homesick
Hearing a song that reminds me of my hometown,Homesick
No one here understands my dialect,Homesick
Wishing I could just teleport home for a weekend,Homesick
My parents sent me a birthday card,Homesick
Feeling lonely in a room full of people,Homesick
Smelling rain on the asphalt and missing home,Homesick
Eating instant noodles alone on a holiday,Homesick
Seeing photos of my friends back home hanging out,Homesick
Miss my mom's nagging,Homesick
The sunset looks just like it does from my bedroom window at home,Homesick
Hearing a language that sounds like my hometown dialect,Homesick
Sick in bed and wishing for mom's soup,Homesick
No one here knows my childhood nickname,Homesick
Spending my birthday alone in the dorm,Homesick
The city noise makes me miss the quiet of home,Homesick
Looking at flight tickets I can't afford,Homesick
Found an old letter from my grandma,Homesick
The laundry detergent smells different here,Homesick
Miss walking my dog in the park,Homesick
Feeling like a stranger in this city,Homesick
Want to sleep in my own bed,Homesick
Seeing a family grocery shopping together,Homesick
Miss the convenience store near my house,Homesick
Just want to hear a familiar voice,Homesick
Feeling small in a big lecture hall,Homesick
Smelling a perfume that my mom wears on a stranger,Homesick
Seeing a family eating hotpot together at a restaurant,Homesick
Miss the sound of my dad snoring in the living room,Homesick
Craving the specific noodles from the shop next to my house,Homesick
Looking at the moon and wondering if my family is watching it too,Homesick
Found an old movie ticket stub from my hometown cinema,Homesick
Miss the smell of my childhood bedroom,Homesick
Hearing a dialect from my hometown on TV,Homesick
Want to complain to my mom about school face to face,Homesick
Seeing a parent teaching a kid math in the park,Homesick
Staring blankly at a page filled with Greek letters,Meltdown
Final exam covers the entire original English textbook,Meltdown
Wrote three pages of Algebra proofs and they are still wrong,Meltdown
Ran data all night and the computer crashed,Meltdown
Report deadline is tonight,Meltdown
Called to the blackboard to solve a problem and mind went blank,Meltdown
Found out I failed a required course and have to retake it,Meltdown
Spilled my drink all over the homework I just finished,Meltdown
Landlord suddenly said they are raising the rent,Meltdown
Rushed for an 8 AM class and missed the bus,Meltdown
My code ran for 5 hours and output an empty array,Meltdown
The TA marked my correct proof as wrong,Meltdown
Forgot to convert the file to PDF before the deadline,Meltdown
Woke up late and missed the Calculus midterm,Meltdown
My laptop battery died while writing the abstract,Meltdown
Spilled ramen soup on my mechanical keyboard,Meltdown
Realized I studied the wrong chapter for the final,Meltdown
The group leader ghosted us two days before presentation,Meltdown
Blue screen of death right before saving my report,Meltdown
Accidentally deleted the wrong folder with all my homework,Meltdown
Accidentally typed rm -rf and deleted my project,Meltdown
The math proof I spent 5 hours on turned out to be circular,Meltdown
My roommate ate the pudding I was saving for two days,Meltdown
Realized the exam is today not tomorrow,Meltdown
Dropped my phone and the screen shattered,Meltdown
The wifi went down right before the assignment submission,Meltdown
Professor asked a question and I have no idea what's going on,Meltdown
Forgot my wallet and can't pay for lunch,Meltdown
Spilled coffee on my limited edition mousepad,Meltdown
Found out I failed the scholarship requirement,Meltdown
My laptop decided to update Windows 10 minutes before the presentation,Meltdown
Realized I used the wrong formula for the entire problem set,Meltdown
The USB drive with my final project got corrupted,Meltdown
Poured milk into my cereal only to realize the milk is expired,Meltdown
Accidentally liked a photo from 3 years ago while stalking,Meltdown
Forgot to save the game after playing for 4 hours,Meltdown
The zipper on my backpack broke right before class,Meltdown
Spilled coffee on my white shirt before an interview,Meltdown
My favorite character died in the manga I'm reading,Meltdown
Woke up with a terrible toothache and no dentist appointment,Meltdown
"Professor asked ""Are you sure?"" after I answered",Meltdown
Dropped my airpod down the storm drain,Meltdown
Realized I missed the deadline for the scholarship application,Meltdown
The restaurant got my order wrong but I was too scared to say anything,Meltdown
My glasses broke and I can't see the board,Meltdown
Locked myself out of the dorm in my pajamas,Meltdown
The only pen I brought to the exam ran out of ink,Meltdown
Accidentally sent a screenshot to the person I was talking about,Meltdown
My code has a memory leak I can't find,Meltdown
Failed the driver's license test again,Meltdown
Accidentally formatted the wrong hard drive,Meltdown
Dropped my ice cream cone on the ground,Meltdown
The printer jammed 5 minutes before class,Meltdown
My alarm didn't go off for the final,Meltdown
Spilled water on my drawing tablet,Meltdown
Realized I've been calling the professor by the wrong name,Meltdown
Got caught in a thunderstorm without an umbrella,Meltdown
My headphones broke during a long commute,Meltdown
Accidentally deleted my save file with 100 hours,Meltdown
Left my keys inside the room and locked the door,Meltdown
Chewing the pearls after finishing the last sip of the drink,Satisfied
The moment I clicked submit after finishing all assignments,Satisfied
Ate dessert until I was stuffed at a buffet,Satisfied
Collected the entire set of gacha figures,Satisfied
Finished a very elegant math proof,Satisfied
Looking at my shelf full of collectibles,Satisfied
Drinking hot cocoa while hiding under the covers in winter,Satisfied
Crossed off every item on my to-do list,Satisfied
Looking at photos of my cat getting fatter,Satisfied
No one bothered me for the entire day,Satisfied
Ate a giant bowl of beef noodles,Satisfied
Finished binge-watching an entire season in one go,Satisfied
Cleaned my room and it smells nice,Satisfied
Finally understood the concept of tensor products,Satisfied
Got exactly enough sleep last night,Satisfied
Submitted the final paper 1 minute before deadline,Satisfied
Filling up my water bottle with ice cold water,Satisfied
My collection shelf looks perfectly symmetrical,Satisfied
Finding the perfect bug in the code,Satisfied
Peeling the plastic off a new electronic device,Satisfied
Finally closed all the browser tabs after finishing a paper,Satisfied
Peeling the protective film off a new screen,Satisfied
The book spine cracked perfectly,Satisfied
Writing the Q.E.D. at the end of a proof,Satisfied
Cleaning my ears with a cotton bud,Satisfied
Fitting all my books perfectly on the shelf,Satisfied
Emptying the trash bin on my desktop,Satisfied
Drinking a glass of cold water after a run,Satisfied
Finishing a whole tube of toothpaste,Satisfied
My code is perfectly indented and commented,Satisfied
Peeling a sticker off perfectly in one piece,Satisfied
Cracking my knuckles,Satisfied
The code output is exactly what I expected,Satisfied
Finishing a whole tube of lip balm,Satisfied
Fitting the last piece of a puzzle,Satisfied
Cleaning the dust off my monitor,Satisfied
Closing all 50 tabs after finishing a project,Satisfied
Writing the last sentence of an essay,Satisfied
Eating a perfectly ripe avocado,Satisfied
The progress bar reaching 100%,Satisfied
Organizing cables with velcro ties,Satisfied
A pen running out of ink just as I finish writing,Satisfied
Popping bubble wrap,Satisfied
Deleting spam emails,Satisfied
Washing the dishes and seeing the empty sink,Satisfied
Getting the perfect ratio of coffee and milk,Satisfied
Throwing a paper ball into the bin from a distance,Satisfied
Clicking a satisfying mouse button,Satisfied
Seeing a clean desktop with no clutter,Satisfied
Getting all green checks on the autograder,Satisfied
Peeling a mandarin orange in one perfect piece,Satisfied
The loading bar hit 100 percent perfectly without stalling,Satisfied
Cracking an egg without breaking the yolk,Satisfied
Fitting all my groceries in one bag perfectly,Satisfied
Finishing a whole pen ink tube completely,Satisfied
Cleaning my glasses and seeing the world in HD again,Satisfied
Closing 50 browser tabs after finishing research,Satisfied
The book fits perfectly in the shelf gap with a click,Satisfied
Eating a warm meal after being hungry all day,Satisfied
Submitting the assignment 5 minutes early,Satisfied
Randomly bought a drink on the street and it was surprisingly good,Surprised
Thought I'd fail the subject but actually got an A,Surprised
Niche anime unexpectedly announced a second season,Surprised
Ate delicious dessert at the school cafeteria,Surprised
Thought the roommate was hard to get along with but turns out they are an otaku too,Surprised
Got the item in one try at the claw machine,Surprised
Professor actually ended class 30 minutes early,Surprised
The popular dessert shop actually had no line,Surprised
Discovered the answer key in the math textbook was wrong,Surprised
Encountered a cat on the street that did a backflip,Surprised
My code worked but I have no idea why,Surprised
Ran into a cat inside the classroom,Surprised
The scary professor made a joke,Surprised
Found out my favorite seiyuu is voicing the new character,Surprised
Got a refund I wasn't expecting,Surprised
The vending machine gave me two drinks instead of one,Surprised
A random stranger complimented my anime shirt,Surprised
Realized I actually enjoy Linear Algebra,Surprised
The cafeteria food was actually edible today,Surprised
Woke up thinking I was late but it's Sunday,Surprised
I actually understood the topology lecture today,Surprised
Found 50 dollars on the sidewalk,Surprised
My crush actually said hi to me,Surprised
The scary looking guy turned out to be super nice,Surprised
Won a giveaway I forgot I entered,Surprised
The bus driver waited for me when I was running,Surprised
Got full marks on a quiz I didn't study for,Surprised
My old code from a year ago is actually good,Surprised
Found a hidden cafe that serves amazing cake,Surprised
The weather forecast said rain but it's sunny,Surprised
Found 20 dollars in an old jacket,Surprised
The scary looking dog was actually friendly,Surprised
Got an A on the test I thought I failed,Surprised
My crush liked my post,Surprised
The bus driver waited for me,Surprised
Found a limited edition figure at a thrift store,Surprised
The difficult proof turned out to be simple,Surprised
A stranger paid for my coffee,Surprised
It stopped raining just as I stepped outside,Surprised
My old code actually works,Surprised
The cafeteria food was good today,Surprised
Found a new shortcut to class,Surprised
The intimidating professor made a joke,Surprised
Won a small prize in a contest,Surprised
Someone remembered my birthday,Surprised
The vending machine gave me two snacks,Surprised
Found a glitch that helps me in the game,Surprised
My roommate cleaned the room,Surprised
The wifi is faster than usual,Surprised
Realized I lost weight without trying,Surprised
Forgot to bring a calculator but the exam didn't need one,Surprised
The loud party next door ended early,Surprised
Found my lost earbud under the bed,Surprised
A random cat followed me home,Surprised
The difficult level in the game was actually easy,Surprised
Got a compliment on my obscure anime shirt,Surprised
The book I wanted was available at the library,Surprised
Professor extended the deadline,Surprised
Found a coin on the ground,Surprised
My plant didn't die while I was away,Surprised
